CountryOfOrigin,AdjustedStatusQuarter1,AdjustedStatusQuarter2,AdjustedStatusQuarter3,AdjustedStatusQuarter4,NewArrivalsQuarter1,NewArrivalsQuarter2,NewArrivalsQuarter3,NewArrivalsQuarter4
Romania,392,400,454,397,188,174,205,226
Russia,1404,1526,1861,1588,1091,877,1040,1460
Rwanda,102,110,81,91,156,67,80,192
Saint Kitts and Nevis,14,21,24,28,49,31,57,22
Saint Lucia,83,124,108,107,89,88,71,62
Saint Vincent and the Grenadines,27,59,58,46,55,37,36,43
Samoa,32,41,37,37,10,5,7,7
Saudi Arabia,126,141,130,125,20,13,33,34
Senegal,138,132,145,126,311,278,272,236
Serbia,209,258,337,297,143,85,130,133
Serbia and Montenegro (former),10,D,D,D,-,D,D,D
Sierra Leone,86,113,108,91,294,245,270,211
Singapore,160,161,191,121,41,36,50,39
Slovakia,66,90,84,91,21,23,34,13
Slovenia,16,31,D,D,5,3,D,D
Somalia,1820,1391,1219,1159,37,84,66,148
South Africa,425,499,534,377,230,141,222,231
South Sudan,43,41,61,30,32,22,35,40
Soviet Union (former),20,27,D,D,-,-,D,D
Spain,849,1044,1012,789,173,159,117,182
Sri Lanka,225,181,223,149,235,159,172,213
Sudan,338,351,317,270,779,388,339,666
Suriname,21,29,22,20,11,16,18,5
Sweden,245,222,292,202,82,49,43,71
Switzerland,77,111,119,97,43,36,26,33
Syria,2278,1638,1126,780,92,55,59,261
Taiwan,1089,938,970,641,459,584,484,671
Tajikistan,36,31,38,44,180,170,241,329
Tanzania,97,96,102,98,64,52,52,63
Thailand,625,818,889,781,383,321,358,326
Togo,64,69,79,65,385,249,278,358
Tonga,35,41,59,39,16,17,21,16
Trinidad and Tobago,380,504,505,391,389,295,314,298
Tunisia,64,68,84,61,65,39,37,56
Turkey,815,760,942,760,594,519,512,686
Turkmenistan,20,18,30,29,47,45,45,58
Uganda,156,150,137,165,163,123,114,136
Ukraine,1812,1642,2096,1776,1038,855,1132,1367
United Arab Emirates,14,D,17,D,-,D,5,D
United Kingdom,2142,2612,2693,1934,959,787,808,923
United States,D,75,D,58,D,4,D,-
Uruguay,216,231,239,231,29,37,32,23
Uzbekistan,175,207,186,168,374,349,459,366
Venezuela,2623,3298,3581,3180,798,579,575,557
Vietnam,2077,2417,2449,2033,7645,6287,7030,9271
Yemen,109,78,86,89,413,627,582,1821
Zambia,46,56,74,64,37,23,20,8
Zimbabwe,83,112,107,108,51,65,32,73
All other countries1,11,23,10,12,3,11,1,11
Unknown,793,1070,1280,953,856,1142,1412,1377
